id,winner,loser,player,score,player_score,venue,date,sport,gender,toss,league
174,Sunrisers Hyderabad,Mumbai Indians,Abhishek Sharma,278,94,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024-03-27,Cricket,Men,field,Indian Premier League
175,Rajasthan Royals,Delhi Capitals,R Parag,186,96,"Sawai Mansingh Stadium, Jaipur",2024-03-28,Cricket,Men,field,Indian Premier League
176,Kolkata Knight Riders,Royal Challengers Bangalore,SP Narine,183,59,"M Chinnaswamy Stadium, Bengaluru",2024-03-29,Cricket,Men,field,Indian Premier League
177,Lucknow Super Giants,Punjab Kings,MP Yadav,200,61,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-03-30,Cricket,Men,bat,Indian Premier League
178,Gujarat Titans,Sunrisers Hyderabad,MM Sharma,163,42,"Narendra Modi Stadium, Ahmedabad",2024-03-31,Cricket,Men,bat,Indian Premier League
179,Delhi Capitals,Chennai Super Kings,KK Ahmed,192,77,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2024-03-31,Cricket,Men,bat,Indian Premier League
180,Rajasthan Royals,Mumbai Indians,TA Boult,126,56,"Wankhede Stadium, Mumbai",2024-04-01,Cricket,Men,field,Indian Premier League
181,Lucknow Super Giants,Royal Challengers Bangalore,MP Yadav,182,96,"M Chinnaswamy Stadium, Bengaluru",2024-04-02,Cricket,Men,field,Indian Premier League
182,Kolkata Knight Riders,Delhi Capitals,SP Narine,273,106,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2024-04-03,Cricket,Men,bat,Indian Premier League
183,Punjab Kings,Gujarat Titans,Shashank Singh,200,101,"Narendra Modi Stadium, Ahmedabad",2024-04-04,Cricket,Men,field,Indian Premier League
184,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,166,81,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024-04-05,Cricket,Men,field,Indian Premier League
185,Rajasthan Royals,Royal Challengers Bangalore,JC Buttler,184,68,"Sawai Mansingh Stadium, Jaipur",2024-04-06,Cricket,Men,field,Indian Premier League
186,Mumbai Indians,Delhi Capitals,R Shepherd,235,76,"Wankhede Stadium, Mumbai",2024-04-07,Cricket,Men,field,Indian Premier League
187,Lucknow Super Giants,Gujarat Titans,Yash Thakur,164,65,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-07,Cricket,Men,bat,Indian Premier League
188,Chennai Super Kings,Kolkata Knight Riders,RA Jadeja,138,65,"MA Chidambaram Stadium, Chepauk, Chennai",2024-04-08,Cricket,Men,field,Indian Premier League
189,Sunrisers Hyderabad,Punjab Kings,Nithish Kumar Reddy,183,65,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-04-09,Cricket,Men,field,Indian Premier League
190,Gujarat Titans,Rajasthan Royals,Rashid Khan,197,76,"Sawai Mansingh Stadium, Jaipur",2024-04-10,Cricket,Men,field,Indian Premier League
191,Mumbai Indians,Royal Challengers Bangalore,JJ Bumrah,197,79,"Wankhede Stadium, Mumbai",2024-04-11,Cricket,Men,field,Indian Premier League
192,Delhi Capitals,Lucknow Super Giants,Kuldeep Yadav,168,81,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-12,Cricket,Men,bat,Indian Premier League
193,Rajasthan Royals,Punjab Kings,SO Hetmyer,148,72,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-04-13,Cricket,Men,field,Indian Premier League
194,Kolkata Knight Riders,Lucknow Super Giants,PD Salt,162,77,"Eden Gardens, Kolkata",2024-04-14,Cricket,Men,field,Indian Premier League
195,Chennai Super Kings,Mumbai Indians,M Pathirana,207,99,"Wankhede Stadium, Mumbai",2024-04-14,Cricket,Men,field,Indian Premier League
196,Sunrisers Hyderabad,Royal Challengers Bangalore,TM Head,288,115,"M Chinnaswamy Stadium, Bengaluru",2024-04-15,Cricket,Men,field,Indian Premier League
197,Rajasthan Royals,Kolkata Knight Riders,JC Buttler,224,84,"Eden Gardens, Kolkata",2024-04-16,Cricket,Men,field,Indian Premier League
198,Delhi Capitals,Gujarat Titans,RR Pant,90,30,"Narendra Modi Stadium, Ahmedabad",2024-04-17,Cricket,Men,field,Indian Premier League
199,Mumbai Indians,Punjab Kings,JJ Bumrah,193,57,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-04-18,Cricket,Men,field,Indian Premier League
200,Lucknow Super Giants,Chennai Super Kings,KL Rahul,177,82,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-19,Cricket,Men,field,Indian Premier League
201,Sunrisers Hyderabad,Delhi Capitals,TM Head,267,85,"Arun Jaitley Stadium, Delhi",2024-04-20,Cricket,Men,field,Indian Premier League
202,Kolkata Knight Riders,Royal Challengers Bangalore,AD Russell,223,118,"Eden Gardens, Kolkata",2024-04-21,Cricket,Men,field,Indian Premier League
203,Gujarat Titans,Punjab Kings,R Sai Kishore,143,68,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-04-21,Cricket,Men,bat,Indian Premier League
204,Rajasthan Royals,Mumbai Indians,Sandeep Sharma,180,48,"Sawai Mansingh Stadium, Jaipur",2024-04-22,Cricket,Men,bat,Indian Premier League
205,Lucknow Super Giants,Chennai Super Kings,MP Stoinis,211,78,"MA Chidambaram Stadium, Chepauk, Chennai",2024-04-23,Cricket,Men,field,Indian Premier League
206,Delhi Capitals,Gujarat Titans,RR Pant,225,66,"Arun Jaitley Stadium, Delhi",2024-04-24,Cricket,Men,field,Indian Premier League
207,Royal Challengers Bangalore,Sunrisers Hyderabad,RM Patidar,207,53,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024-04-25,Cricket,Men,bat,Indian Premier League
208,Punjab Kings,Kolkata Knight Riders,JM Bairstow,262,106,"Eden Gardens, Kolkata",2024-04-26,Cricket,Men,field,Indian Premier League
209,Delhi Capitals,Mumbai Indians,J Fraser-McGurk,258,110,"Arun Jaitley Stadium, Delhi",2024-04-27,Cricket,Men,field,Indian Premier League
210,Rajasthan Royals,Lucknow Super Giants,SV Samson,197,82,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-27,Cricket,Men,field,Indian Premier League
211,Royal Challengers Bangalore,Gujarat Titans,WG Jacks,201,63,"Narendra Modi Stadium, Ahmedabad",2024-04-28,Cricket,Men,field,Indian Premier League
212,Chennai Super Kings,Sunrisers Hyderabad,RD Gaikwad,213,68,"MA Chidambaram Stadium, Chepauk, Chennai",2024-04-28,Cricket,Men,field,Indian Premier League
213,Kolkata Knight Riders,Delhi Capitals,CV Varun,154,43,"Eden Gardens, Kolkata",2024-04-29,Cricket,Men,bat,Indian Premier League
214,Lucknow Super Giants,Mumbai Indians,MP Stoinis,145,57,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-30,Cricket,Men,field,Indian Premier League
215,Punjab Kings,Chennai Super Kings,Harpreet Brar,163,55,"MA Chidambaram Stadium, Chepauk, Chennai",2024-05-01,Cricket,Men,field,Indian Premier League
216,Sunrisers Hyderabad,Rajasthan Royals,B Kumar,202,83,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024-05-02,Cricket,Men,bat,Indian Premier League
217,Kolkata Knight Riders,Mumbai Indians,VR Iyer,170,91,"Wankhede Stadium, Mumbai",2024-05-03,Cricket,Men,field,Indian Premier League
218,Royal Challengers Bangalore,Gujarat Titans,Mohammed Siraj,148,46,"M Chinnaswamy Stadium, Bengaluru",2024-05-04,Cricket,Men,field,Indian Premier League
219,Chennai Super Kings,Punjab Kings,RA Jadeja,168,51,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2024-05-05,Cricket,Men,field,Indian Premier League
220,Kolkata Knight Riders,Lucknow Super Giants,SP Narine,236,115,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-05-05,Cricket,Men,field,Indian Premier League
221,Mumbai Indians,Sunrisers Hyderabad,SA Yadav,174,51,"Wankhede Stadium, Mumbai",2024-05-06,Cricket,Men,field,Indian Premier League
222,Delhi Capitals,Rajasthan Royals,Kuldeep Yadav,222,89,"Arun Jaitley Stadium, Delhi",2024-05-07,Cricket,Men,field,Indian Premier League
223,Sunrisers Hyderabad,Lucknow Super Giants,TM Head,166,79,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024-05-08,Cricket,Men,bat,Indian Premier League
224,Royal Challengers Bangalore,Punjab Kings,V Kohli,242,84,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2024-05-09,Cricket,Men,field,Indian Premier League
225,Gujarat Titans,Chennai Super Kings,Shubman Gill,232,89,"Narendra Modi Stadium, Ahmedabad",2024-05-10,Cricket,Men,field,Indian Premier League
226,Kolkata Knight Riders,Mumbai Indians,CV Varun,158,71,"Eden Gardens, Kolkata",2024-05-11,Cricket,Men,field,Indian Premier League
227,Chennai Super Kings,Rajasthan Royals,Simarjeet Singh,142,39,"MA Chidambaram Stadium, Chepauk, Chennai",2024-05-12,Cricket,Men,bat,Indian Premier League
228,Royal Challengers Bangalore,Delhi Capitals,C Green,188,83,"M Chinnaswamy Stadium, Bengaluru",2024-05-12,Cricket,Men,field,Indian Premier League
229,Delhi Capitals,Lucknow Super Giants,I Sharma,209,125,"Arun Jaitley Stadium, Delhi",2024-05-14,Cricket,Men,field,Indian Premier League
230,Punjab Kings,Rajasthan Royals,SM Curran,145,68,"Barsapara Cricket Stadium, Guwahati",2024-05-15,Cricket,Men,bat,Indian Premier League
231,Lucknow Super Giants,Mumbai Indians,N Pooran,215,109,"Wankhede Stadium, Mumbai",2024-05-17,Cricket,Men,field,Indian Premier League
232,Royal Challengers Bangalore,Chennai Super Kings,F du Plessis,219,119,"M Chinnaswamy Stadium, Bengaluru",2024-05-18,Cricket,Men,field,Indian Premier League
233,Sunrisers Hyderabad,Punjab Kings,Abhishek Sharma,215,69,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024-05-19,Cricket,Men,bat,Indian Premier League
234,Kolkata Knight Riders,Sunrisers Hyderabad,MA Starc,160,53,"Narendra Modi Stadium, Ahmedabad",2024-05-21,Cricket,Men,bat,Indian Premier League
235,Rajasthan Royals,Royal Challengers Bangalore,R Ashwin,173,44,"Narendra Modi Stadium, Ahmedabad",2024-05-22,Cricket,Men,field,Indian Premier League
236,Sunrisers Hyderabad,Rajasthan Royals,Shahbaz Ahmed,176,69,"MA Chidambaram Stadium, Chepauk, Chennai",2024-05-24,Cricket,Men,field,Indian Premier League
237,Kolkata Knight Riders,Sunrisers Hyderabad,MA Starc,114,55,"MA Chidambaram Stadium, Chepauk, Chennai",2024-05-26,Cricket,Men,bat,Indian Premier League
238,Royal Challengers Bangalore,Rajasthan Royals,Virat Kohli,202,82,Royal Challengers Bangalore Stadium,2025-04-01,Cricket,Men,Bowl,Indian Premier League
239,Delhi Capitals,Kolkata Knight Riders,Kuldeep Yadav,180,59,Delhi Capitals Stadium,2025-04-02,Cricket,Men,Bat,Indian Premier League
240,Sunrisers Hyderabad,Mumbai Indians,Travis Head,210,96,Sunrisers Hyderabad Stadium,2025-04-03,Cricket,Men,Bowl,Indian Premier League
241,Rajasthan Royals,Royal Challengers Bangalore,Sanju Samson,181,101,Rajasthan Royals Stadium,2025-04-04,Cricket,Men,Bat,Indian Premier League
242,Delhi Capitals,Rajasthan Royals,Axar Patel,156,66,Delhi Capitals Stadium,2025-04-05,Cricket,Men,Bat,Indian Premier League
243,Royal Challengers Bangalore,Kolkata Knight Riders,Virat Kohli,214,128,Royal Challengers Bangalore Stadium,2025-04-06,Cricket,Men,Bat,Indian Premier League
244,Kolkata Knight Riders,Rajasthan Royals,Andre Russell,176,101,Kolkata Knight Riders Stadium,2025-04-07,Cricket,Men,Bowl,Indian Premier League
245,Sunrisers Hyderabad,Gujarat Titans,Abhishek Sharma,166,99,Sunrisers Hyderabad Stadium,2025-04-08,Cricket,Men,Bat,Indian Premier League
246,Kolkata Knight Riders,Royal Challengers Bangalore,Rinku Singh,181,105,Kolkata Knight Riders Stadium,2025-04-09,Cricket,Men,Bat,Indian Premier League
247,Rajasthan Royals,Delhi Capitals,Yashasvi Jaiswal,197,76,Rajasthan Royals Stadium,2025-04-10,Cricket,Men,Bowl,Indian Premier League
248,Rajasthan Royals,Chennai Super Kings,Yuzvendra Chahal,201,51,Rajasthan Royals Stadium,2025-04-11,Cricket,Men,Bat,Indian Premier League
249,Rajasthan Royals,Lucknow Super Giants,Yuzvendra Chahal,162,50,Rajasthan Royals Stadium,2025-04-12,Cricket,Men,Bowl,Indian Premier League
250,Delhi Capitals,Sunrisers Hyderabad,Rishabh Pant,156,74,Delhi Capitals Stadium,2025-04-13,Cricket,Men,Bat,Indian Premier League
251,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,177,61,Gujarat Titans Stadium,2025-04-14,Cricket,Men,Bat,Indian Premier League
252,Chennai Super Kings,Royal Challengers Bangalore,Ruturaj Gaikwad,212,92,Chennai Super Kings Stadium,2025-04-15,Cricket,Men,Bat,Indian Premier League
253,Gujarat Titans,Delhi Capitals,David Miller,208,85,Gujarat Titans Stadium,2025-04-16,Cricket,Men,Bat,Indian Premier League
254,Chennai Super Kings,Lucknow Super Giants,Shivam Dube,145,62,Chennai Super Kings Stadium,2025-04-17,Cricket,Men,Bowl,Indian Premier League
255,Chennai Super Kings,Rajasthan Royals,Ruturaj Gaikwad,140,62,Chennai Super Kings Stadium,2025-04-18,Cricket,Men,Bat,Indian Premier League
256,Punjab Kings,Delhi Capitals,Shashank Singh,157,55,Punjab Kings Stadium,2025-04-19,Cricket,Men,Bat,Indian Premier League
257,Mumbai Indians,Delhi Capitals,Suryakumar Yadav,173,79,Mumbai Indians Stadium,2025-04-20,Cricket,Men,Bowl,Indian Premier League
258,Lucknow Super Giants,Royal Challengers Bangalore,Ravi Bishnoi,219,87,Lucknow Super Giants Stadium,2025-04-21,Cricket,Men,Bowl,Indian Premier League
259,Sunrisers Hyderabad,Kolkata Knight Riders,Abhishek Sharma,154,52,Sunrisers Hyderabad Stadium,2025-04-22,Cricket,Men,Bowl,Indian Premier League
260,Gujarat Titans,Sunrisers Hyderabad,David Miller,179,85,Gujarat Titans Stadium,2025-04-23,Cricket,Men,Bowl,Indian Premier League
261,Rajasthan Royals,Punjab Kings,Yuzvendra Chahal,197,53,Rajasthan Royals Stadium,2025-04-24,Cricket,Men,Bat,Indian Premier League
262,Mumbai Indians,Chennai Super Kings,Hardik Pandya,149,48,Mumbai Indians Stadium,2025-04-25,Cricket,Men,Bat,Indian Premier League
263,Royal Challengers Bangalore,Lucknow Super Giants,Glenn Maxwell,175,96,Royal Challengers Bangalore Stadium,2025-04-26,Cricket,Men,Bowl,Indian Premier League
264,Royal Challengers Bangalore,Rajasthan Royals,Mohammed Siraj,161,87,Royal Challengers Bangalore Stadium,2025-04-27,Cricket,Men,Bowl,Indian Premier League
265,Delhi Capitals,Royal Challengers Bangalore,Axar Patel,168,55,Delhi Capitals Stadium,2025-04-28,Cricket,Men,Bat,Indian Premier League
266,Lucknow Super Giants,Mumbai Indians,Ravi Bishnoi,171,53,Lucknow Super Giants Stadium,2025-04-29,Cricket,Men,Bat,Indian Premier League
267,Gujarat Titans,Kolkata Knight Riders,Rashid Khan,167,47,Gujarat Titans Stadium,2025-04-30,Cricket,Men,Bat,Indian Premier League
268,Delhi Capitals,Kolkata Knight Riders,Rishabh Pant,212,86,Delhi Capitals Stadium,2026-04-01,Cricket,Men,Bowl,Indian Premier League
269,Sunrisers Hyderabad,Punjab Kings,Heinrich Klaasen,189,88,Sunrisers Hyderabad Stadium,2026-04-02,Cricket,Men,Bat,Indian Premier League
270,Rajasthan Royals,Delhi Capitals,Yuzvendra Chahal,201,111,Rajasthan Royals Stadium,2026-04-03,Cricket,Men,Bowl,Indian Premier League
271,Kolkata Knight Riders,Punjab Kings,Phil Salt,165,57,Kolkata Knight Riders Stadium,2026-04-04,Cricket,Men,Bowl,Indian Premier League
272,Lucknow Super Giants,Chennai Super Kings,KL Rahul,225,105,Lucknow Super Giants Stadium,2026-04-05,Cricket,Men,Bat,Indian Premier League
273,Mumbai Indians,Lucknow Super Giants,Tilak Varma,180,73,Mumbai Indians Stadium,2026-04-06,Cricket,Men,Bowl,Indian Premier League
274,Delhi Capitals,Mumbai Indians,Axar Patel,196,105,Delhi Capitals Stadium,2026-04-07,Cricket,Men,Bat,Indian Premier League
275,Gujarat Titans,Royal Challengers Bangalore,Rashid Khan,214,68,Gujarat Titans Stadium,2026-04-08,Cricket,Men,Bowl,Indian Premier League
276,Royal Challengers Bangalore,Punjab Kings,Glenn Maxwell,168,61,Royal Challengers Bangalore Stadium,2026-04-09,Cricket,Men,Bat,Indian Premier League
277,Kolkata Knight Riders,Sunrisers Hyderabad,Phil Salt,209,57,Kolkata Knight Riders Stadium,2026-04-10,Cricket,Men,Bowl,Indian Premier League
278,Royal Challengers Bangalore,Mumbai Indians,Faf du Plessis,199,63,Royal Challengers Bangalore Stadium,2026-04-11,Cricket,Men,Bowl,Indian Premier League
279,Gujarat Titans,Royal Challengers Bangalore,David Miller,174,44,Gujarat Titans Stadium,2026-04-12,Cricket,Men,Bowl,Indian Premier League
280,Kolkata Knight Riders,Gujarat Titans,Sunil Narine,217,62,Kolkata Knight Riders Stadium,2026-04-13,Cricket,Men,Bowl,Indian Premier League
281,Delhi Capitals,Chennai Super Kings,Kuldeep Yadav,229,63,Delhi Capitals Stadium,2026-04-14,Cricket,Men,Bowl,Indian Premier League
282,Lucknow Super Giants,Rajasthan Royals,Ravi Bishnoi,184,51,Lucknow Super Giants Stadium,2026-04-15,Cricket,Men,Bowl,Indian Premier League
283,Delhi Capitals,Mumbai Indians,Axar Patel,162,78,Delhi Capitals Stadium,2026-04-16,Cricket,Men,Bat,Indian Premier League
284,Chennai Super Kings,Sunrisers Hyderabad,Ruturaj Gaikwad,209,70,Chennai Super Kings Stadium,2026-04-17,Cricket,Men,Bowl,Indian Premier League
285,Kolkata Knight Riders,Royal Challengers Bangalore,Sunil Narine,159,82,Kolkata Knight Riders Stadium,2026-04-18,Cricket,Men,Bat,Indian Premier League
286,Rajasthan Royals,Gujarat Titans,Jos Buttler,164,48,Rajasthan Royals Stadium,2026-04-19,Cricket,Men,Bat,Indian Premier League
287,Gujarat Titans,Delhi Capitals,David Miller,218,76,Gujarat Titans Stadium,2026-04-20,Cricket,Men,Bat,Indian Premier League
288,Delhi Capitals,Rajasthan Royals,Kuldeep Yadav,229,64,Delhi Capitals Stadium,2026-04-21,Cricket,Men,Bowl,Indian Premier League
289,Kolkata Knight Riders,Rajasthan Royals,Shreyas Iyer,191,103,Kolkata Knight Riders Stadium,2026-04-22,Cricket,Men,Bowl,Indian Premier League
290,Royal Challengers Bangalore,Punjab Kings,Dinesh Karthik,213,121,Royal Challengers Bangalore Stadium,2026-04-23,Cricket,Men,Bowl,Indian Premier League
291,Kolkata Knight Riders,Lucknow Super Giants,Shreyas Iyer,195,71,Kolkata Knight Riders Stadium,2026-04-24,Cricket,Men,Bat,Indian Premier League
292,Mumbai Indians,Lucknow Super Giants,Ishan Kishan,174,60,Mumbai Indians Stadium,2026-04-25,Cricket,Men,Bowl,Indian Premier League
293,Lucknow Super Giants,Rajasthan Royals,Nicholas Pooran,200,106,Lucknow Super Giants Stadium,2026-04-26,Cricket,Men,Bowl,Indian Premier League
294,Sunrisers Hyderabad,Lucknow Super Giants,Nitish Kumar Reddy,200,82,Sunrisers Hyderabad Stadium,2026-04-27,Cricket,Men,Bowl,Indian Premier League
295,Rajasthan Royals,Gujarat Titans,Yashasvi Jaiswal,157,64,Rajasthan Royals Stadium,2026-04-28,Cricket,Men,Bowl,Indian Premier League
296,Rajasthan Royals,Gujarat Titans,Yashasvi Jaiswal,155,59,Rajasthan Royals Stadium,2026-04-29,Cricket,Men,Bowl,Indian Premier League
297,Chennai Super Kings,Mumbai Indians,Matheesha Pathirana,194,71,Chennai Super Kings Stadium,2026-04-30,Cricket,Men,Bowl,Indian Premier League
298,India,Australia,Virat Kohli,358,73,"M. Chinnaswamy Stadium, Bengaluru",2026-06-07,Cricket,Men,,International Cricket
299,Chennai Super Kings,Mumbai Indians,MS Dhoni,371,117,"M. A. Chidambaram Stadium, Chennai",2026-06-07,Cricket,Men,,Indian Premier League
300,India,Australia,Rohit Sharma,358,164,"M. Chinnaswamy Stadium, Bengaluru",2026-06-07,Cricket,Men,,International Cricket
301,Chennai Super Kings,Mumbai Indians,Matheesha Pathirana,371,84,"M. A. Chidambaram Stadium, Chennai",2026-06-07,Cricket,Men,,Indian Premier League
302,India,Australia,Hardik Pandya,358,151,"M. Chinnaswamy Stadium, Bengaluru",2026-06-07,Cricket,Men,,International Cricket
303,Chennai Super Kings,Mumbai Indians,Ruturaj Gaikwad,371,172,"M. A. Chidambaram Stadium, Chennai",2026-06-07,Cricket,Men,,Indian Premier League
304,India,Australia,Jasprit Bumrah,358,161,"M. Chinnaswamy Stadium, Bengaluru",2026-06-07,Cricket,Men,,International Cricket
305,Chennai Super Kings,Mumbai Indians,Matheesha Pathirana,371,144,"M. A. Chidambaram Stadium, Chennai",2026-06-07,Cricket,Men,,Indian Premier League
306,India,Australia,Jasprit Bumrah,358,138,"M. Chinnaswamy Stadium, Bengaluru",2026-06-07,Cricket,Men,,International Cricket
307,Chennai Super Kings,Mumbai Indians,Matheesha Pathirana,371,148,"M. A. Chidambaram Stadium, Chennai",2026-06-07,Cricket,Men,,Indian Premier League
308,India,Australia,Virat Kohli,358,92,"M. Chinnaswamy Stadium, Bengaluru",2026-06-07,Cricket,Men,,International Cricket
309,Chennai Super Kings,Mumbai Indians,Ravindra Jadeja,371,117,"M. A. Chidambaram Stadium, Chennai",2026-06-07,Cricket,Men,,Indian Premier League
310,India,Australia,Suryakumar Yadav,358,109,"M. Chinnaswamy Stadium, Bengaluru",2026-06-07,Cricket,Men,,International Cricket
311,Chennai Super Kings,Mumbai Indians,Ruturaj Gaikwad,371,114,"M. A. Chidambaram Stadium, Chennai",2026-06-07,Cricket,Men,,Indian Premier League
312,New Zealand Women,Bangladesh Women,New Zealand Women,318,72,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
313,Sri Lanka Women,Pakistan Women,Sri Lanka Women,337,93,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
314,South Africa Women,Ireland Women,South Africa Women,255,95,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
315,Scotland Women,Netherlands Women,Scotland Women,268,97,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
316,United States of America,Canada,United States of America,466,160,"Maple Leaf North-West Ground, King City",2026-06-06,Cricket,Men,,International Cricket
317,Jabalpur Royal Lions,Indore Pink Panthers,Jabalpur Royal Lions,297,115,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
318,Rewa Jaguars,Bundelkhand Bulls,Rewa Jaguars,150,58,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
319,Malwa Stallions,Ujjain Falcons,Malwa Stallions,413,170,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
320,Gwalior Cheetahs,Bhopal Leopards,Gwalior Cheetahs,428,178,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
321,Bhopal Leopards,Indore Pink Panthers,Bhopal Leopards,321,132,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
322,Chambal Ghariyals,Malwa Stallions,Chambal Ghariyals,311,91,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
323,Ujjain Falcons,Gwalior Cheetahs,Ujjain Falcons,350,100,"Holkar Stadium, Indore",2026-06-03,Cricket,Men,,Indian Premier League
324,England,New Zealand,Harry Brook,617,134,"Lord's, London",2026-06-04,Cricket,Men,,International Cricket
325,Oman Women,Philippines Women,Oman Women,238,94,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
326,Japan Women,Bahrain Women,Japan Women,236,77,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
327,United Arab Emirates Women,China Women,United Arab Emirates Women,76,27,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
328,Thailand Women,Myanmar Women,Thailand Women,65,21,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
329,Mongolia Women,Bahrain Women,Mongolia Women,195,58,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
330,Oman Women,Saudi Arabia Women,Oman Women,77,35,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
331,Kuwait Women,Singapore Women,Kuwait Women,191,61,"Selangor Turf Club, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
332,Hong Kong,Nepal Women,Hong Kong,149,62,"Kolej Tuanku Ja'afar Cricket Oval, Mantin",2026-06-06,Cricket,Women,,International Cricket
333,Indonesia Women,Malaysia Women,Indonesia Women,175,81,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
334,China Women,Philippines Women,China Women,207,43,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
335,New Zealand Women,Bangladesh Women,New Zealand Women,318,135,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
336,Sri Lanka Women,Pakistan Women,Sri Lanka Women,337,101,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
337,South Africa Women,Ireland Women,South Africa Women,255,97,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
338,Scotland Women,Netherlands Women,Scotland Women,268,102,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
339,United States of America,Canada,United States of America,466,185,"Maple Leaf North-West Ground, King City",2026-06-06,Cricket,Men,,International Cricket
340,Jabalpur Royal Lions,Indore Pink Panthers,Jabalpur Royal Lions,297,74,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
341,Rewa Jaguars,Bundelkhand Bulls,Rewa Jaguars,150,44,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
342,Malwa Stallions,Ujjain Falcons,Malwa Stallions,413,187,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
343,Gwalior Cheetahs,Bhopal Leopards,Gwalior Cheetahs,428,184,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
344,Bhopal Leopards,Indore Pink Panthers,Bhopal Leopards,321,123,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
345,Chambal Ghariyals,Malwa Stallions,Chambal Ghariyals,311,140,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
346,Ujjain Falcons,Gwalior Cheetahs,Ujjain Falcons,350,103,"Holkar Stadium, Indore",2026-06-03,Cricket,Men,,Indian Premier League
347,England,New Zealand,Joe Root,617,189,"Lord's, London",2026-06-04,Cricket,Men,,International Cricket
348,Oman Women,Philippines Women,Oman Women,238,93,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
349,Japan Women,Bahrain Women,Japan Women,236,103,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
350,United Arab Emirates Women,China Women,United Arab Emirates Women,76,36,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
